Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
33499.7	-50.228	
33499.7	-50.2267	
33499.7	-50.2309	
33599.7	-50.2486	
33699.5	-50.2628	
33799.6	-50.2805	
33799.6	-50.2843	
33899.6	-50.3006	
33999.6	-50.3117	
33999.6	-50.3151	
34099.6	-50.3299	
34199.7	-50.3411	
34203.3	-50.3206	
34299.7	-50.3646	
34399.7	-50.3729	
34499.5	-50.3804	
34499.5	-50.3818	
34599.6	-50.3987	
34699.6	-50.4122	
34699.6	-50.4063	
34799.6	-50.4224	
34799.6	-50.4239	
34899.6	-50.4299	
34999.6	-50.4441	
34999.6	-50.4421	
35099.7	-50.4571	
35199.7	-50.4648	
35199.7	-50.4649	
35299.5	-50.4776	
35399.6	-50.487	
35399.6	-50.486	
35499.6	-50.4906	
35599.6	-50.5052	
35599.6	-50.506	
35699.6	-50.526	
35799.7	-50.5216	
35799.6	-50.5232	
35899.7	-50.5275	
35999.7	-50.536	
35999.7	-50.5447	
36099.5	-50.5437	
36199.6	-50.5471	
36199.6	-50.5484	
36299.6	-50.5573	
36399.6	-50.5611	
36399.6	-50.5589	
36499.6	-50.5648	
36599.6	-50.5738	
36599.6	-50.5707	
36699.7	-50.5819	
36799.5	-50.5835	
36799.5	-50.584	
36899.5	-50.5848	
36999.6	-50.5922	
36999.6	-50.586	
37099.6	-50.5921	
37199.6	-50.5937	
37199.6	-50.5933	
37299.6	-50.5994	
37399.6	-50.6014	
37399.6	-50.5994	
37431	-50.6169	
37599.5	-50.6075	
37599.5	-50.6034	
37699.5	-50.6026	
37699.5	-50.6062	
37799.5	-50.6065	
37899.6	-50.6076	
37899.6	-50.6076	
37999.6	-50.6067	
38099.6	-50.6066	
38099.6	-50.6098	
38199.6	-50.6062	
38299.7	-50.6074	
38399.5	-50.608	
38399.5	-50.6074	
38499.5	-50.5953	
38599.5	-50.6076	
38599.5	-50.6052	
38699.6	-50.6046	
38799.6	-50.6051	
38799.6	-50.6028	
38899.6	-50.6007	
38999.6	-50.5969	
38999.6	-50.5992	
39099.7	-50.5938	
39099.7	-50.5939	
39199.5	-50.5922	
39299.5	-50.5883	
39299.5	-50.5847	
39399.5	-50.5868	
39499.6	-50.5741	
39499.6	-50.5745	
39599.6	-50.5813	
39699.6	-50.57	
39699.6	-50.5696	
39799.6	-50.5681	
39899.5	-50.5604	
39899.5	-50.5627	
39999.5	-50.5551	
40099.5	-50.5541	
40099.5	-50.5499	
40199.5	-50.546	
40299.6	-50.537	
40299.6	-50.5399	
40399.6	-50.5328	
40399.6	-50.5324	
40499.6	-50.5284	
40599.6	-50.5221	
40599.6	-50.5181	
40699.5	-50.5139	
40799.5	-50.5029	
40899.5	-50.501	
40899.5	-50.4969	
40999.5	-50.4871	
41099.6	-50.4827	
41099.6	-50.485	
41199.6	-50.4784	
41299.6	-50.4633	
41299.6	-50.4653	
41399.6	-50.4593	
41499.5	-50.4537	
41499.5	-50.4469	
41499.5	-50.4518	
41599.5	-50.4366	
41699.5	-50.4349	
41799.5	-50.4224	
41799.5	-50.4213	
41899.6	-50.4095	
41999.6	-50.3992	
41999.6	-50.4008	
42099.6	-50.3953	
42199.6	-50.3808	
42199.6	-50.3785	
42299.5	-50.3731	
42399.5	-50.3554	
42499.5	-50.347	
42499.5	-50.348	
42599.5	-50.3396	
42699.6	-50.324	
42699.6	-50.3224	
42799.6	-50.3133	
42799.6	-50.3164	
42899.6	-50.3005	
42999.4	-50.2922	
42999.4	-50.2867	
43099.5	-50.2744	
43099.5	-50.2769	
43199.5	-50.2648	
43299.5	-50.2535	
43399.5	-50.2358	
43399.5	-50.2409	
43499.6	-50.2246	
43599.6	-50.213	
43599.6	-50.214	
43699.6	-50.1993	
43799.4	-50.1882	
43899.5	-50.1711	
43899.5	-50.1729	
43999.5	-50.1558	
43999.5	-50.1575	
44099.5	-50.1476	
44199.5	-50.1304	
44199.5	-50.1269	
44299.5	-50.1141	
44399.6	-50.1013	
44399.6	-50.1005	
44499.6	-50.0854	
44599.4	-50.0712	
44599.4	-50.0695	
44699.5	-50.0547	
44799.5	-50.0419	
44799.5	-50.0386	
44899.5	-50.0266	
44999.5	-50.0088	
44999.5	-50.0099	
45099.5	-49.994	
45199.6	-49.9752	
45199.6	-49.9746	
45299.6	-49.9312	
45299.6	-49.9564	
45399.4	-49.9376	
45499.5	-49.9186	
45599.5	-49.9037	
45599.5	-49.9064	
45699.5	-49.8884	
45799.5	-49.8677	
45799.5	-49.8706	
45899.5	-49.8517	
45999.6	-49.8335	
45999.6	-49.8338	
46099.4	-49.8205	
46099.4	-49.8184	
46199.4	-49.8001	
46299.5	-49.7877	
46299.5	-49.788	
46399.5	-49.7655	
46499.5	-49.7511	
46499.5	-49.7437	
46599.5	-49.7256	
46699.5	-49.7119	
46699.5	-49.7089	
46799.6	-49.6898	
46899.4	-49.6736	
46899.4	-49.6731	
46999.4	-49.6497	
46999.4	-49.652	
47099.4	-49.6345	
47199.3	-49.6191	
47199.5	-49.6161	
47299.5	-49.5987	
47399.5	-49.5779	
47399.5	-49.5736	
47499.5	-49.5595	
47599.6	-49.5386	
47699.4	-49.519	
47699.4	-49.5209	
47799.4	-49.4972	
47799.4	-49.4966	
47899.4	-49.4764	
47999.5	-49.4581	
47999.5	-49.4566	
48099.5	-49.4353	
48199.5	-49.4149	
48199.5	-49.4169	
48299.5	-49.3951	
48399.6	-49.369	
48399.6	-49.3723	
48499.4	-49.3548	
48599.4	-49.3316	
48599.4	-49.3336	
48699.4	-49.3102	
48799.5	-49.2875	
48799.5	-49.2899	
48899.5	-49.2656	
48999.5	-49.242	
48999.5	-49.2495	
49099.5	-49.2236	
49199.4	-49.1972	
49199.4	-49.1983	
49299.4	-49.1847	
49399.4	-49.1597	
49399.4	-49.1565	
49499.4	-49.1339	
49599.5	-49.1125	
49599.5	-49.1154	
49699.5	-49.0879	
