Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
33600	4.59931	
33700	4.60065	
33700	4.60087	
33800	4.60223	
33900	4.60335	
33900	4.60355	
34000	4.60501	
34000	4.60479	
34100	4.60623	
34200	4.60702	
34200	4.60758	
34300	4.60871	
34400	4.61016	
34400	4.61012	
34500	4.61141	
34600	4.61279	
34600	4.61271	
34700	4.61388	
34800	4.61523	
34800	4.61518	
34800	4.6154	
35000	4.61765	
35000	4.61765	
35100	4.61893	
35200	4.62017	
35200	4.62005	
35300	4.62118	
35400	4.62274	
35400	4.62275	
35500	4.62399	
35600	4.62489	
35600	4.62519	
35700	4.62618	
35800	4.62751	
35800	4.62731	
35900	4.62894	
36000	4.62983	
36100	4.63117	
36100	4.63095	
36200	4.63204	
36300	4.63326	
36300	4.63308	
36400	4.63405	
36500	4.63545	
36500	4.63541	
36600	4.63661	
36700	4.638	
36700	4.6379	
36800	4.63891	
36800	4.63876	
36900	4.64008	
37000	4.64099	
37000	4.64103	
37100	4.64206	
37200	4.64321	
37270	4.61698	
37300	4.64422	
37400	4.64517	
37500	4.6462	
37500	4.64615	
37600	4.64722	
37700	4.6484	
37700	4.64803	
37800	4.64926	
37900	4.65029	
37900	4.65024	
38000	4.65134	
38100	4.65213	
38100	4.65236	
38200	4.65313	
38200	4.65296	
38300	4.6541	
38400	4.65541	
38400	4.65542	
38500	4.65635	
38600	4.65729	
38600	4.65761	
38700	4.65825	
38800	4.6591	
38900	4.65999	
38900	4.66018	
39000	4.66089	
39100	4.66177	
39100	4.66201	
39199	4.66292	
39199	4.66305	
39300	4.66393	
39400	4.66464	
39400	4.66474	
39500	4.66564	
39600	4.66641	
39600	4.66617	
39700	4.66731	
39800	4.66813	
39800	4.66827	
39899	4.66888	
39999	4.66993	
39999	4.67002	
40100	4.67066	
40200	4.67175	
40200	4.67141	
40300	4.67245	
40400	4.67332	
40400	4.67322	
40500	4.67406	
40600	4.67497	
40600	4.67484	
40699	4.67565	
40799	4.67664	
40799	4.67645	
40900	4.67744	
41000	4.67814	
41000	4.67844	
41100	4.67894	
41200	4.6801	
41200	4.67991	
41300	4.68075	
41400	4.68147	
41400	4.68133	
41499	4.68241	
41599	4.68294	
41599	4.68294	
41700	4.68393	
41800	4.68477	
41800	4.68462	
41900	4.68528	
42000	4.68622	
42000	4.68622	
42100	4.68686	
42100	4.687	
42200	4.68779	
42299	4.68862	
42299	4.68859	
42399	4.68927	
42500	4.69005	
42500	4.69007	
42600	4.69078	
42700	4.69149	
42700	4.6914	
42800	4.6922	
42900	4.69315	
42999	4.69346	
42999	4.69347	
43099	4.69411	
43199	4.69477	
43199	4.69493	
43300	4.69555	
43299	4.69569	
43400	4.69637	
43500	4.69701	
43500	4.69703	
43600	4.69758	
43700	4.69812	
43700	4.69815	
43799	4.69894	
43899	4.69985	
43899	4.69993	
43999	4.70046	
44100	4.70108	
44100	4.70116	
44200	4.7016	
44300	4.70248	
44300	4.70226	
44400	4.70281	
44500	4.70367	
44500	4.70362	
44599	4.70419	
44699	4.70499	
44699	4.7049	
44799	4.70554	
44799	4.70561	
44899	4.70621	
45000	4.70689	
45000	4.70678	
45100	4.70754	
45200	4.70825	
45200	4.70814	
45300	4.70877	
45399	4.70922	
45499	4.71006	
45499	4.70989	
45599	4.71063	
45699	4.71107	
45699	4.71109	
45800	4.71166	
45900	4.71245	
45900	4.71251	
46000	4.71306	
46000	4.7129	
46099	4.71362	
46199	4.71415	
46199	4.71433	
46299	4.71478	
46399	4.71538	
46399	4.71553	
46499	4.71608	
46600	4.71646	
46600	4.71677	
46700	4.71734	
46800	4.71762	
46800	4.71768	
46899	4.71832	
46999	4.71896	
46999	4.71887	
47099	4.71945	
47099	4.71921	
47199	4.72013	
47299	4.72043	
47299	4.7206	
47400	4.72107	
47500	4.72169	
47509	4.70675	
47600	4.72224	
47699	4.72275	
47699	4.72254	
47799	4.72322	
47899	4.72378	
47999	4.72417	
47999	4.72422	
48099	4.72487	
48099	4.72479	
48200	4.72541	
48300	4.72579	
48300	4.72579	
48400	4.72644	
48499	4.72681	
48500	4.72672	
48599	4.72751	
48699	4.72791	
48699	4.7279	
48799	4.72838	
48899	4.72897	
48899	4.72894	
49000	4.72952	
49100	4.72996	
49199	4.73055	
49199	4.73041	
49299	4.73115	
49399	4.73151	
49399	4.73153	
49499	4.73166	
49599	4.73242	
49599	4.73243	
49699	4.73288	
49800	4.73307	
49800	4.7333	
49900	4.73405	
