Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
32300	1.60616	
32300	1.60615	
32400	1.60208	
32500	1.59787	
32500	1.59791	
32600	1.59382	
32700	1.58975	
32700	1.58974	
32800	1.58565	
32900	1.58154	
32900	1.58155	
32900	1.58156	
33100	1.57354	
33100	1.57358	
33200	1.5696	
33300	1.56564	
33300	1.56558	
33400	1.5617	
33500	1.55771	
33500	1.55778	
33600	1.55389	
33700	1.54998	
33800	1.54611	
33800	1.54615	
33900	1.54228	
34000	1.53843	
34000	1.53849	
34100	1.53463	
34200	1.53086	
34200	1.5308	
34300	1.52705	
34400	1.52329	
34400	1.52322	
34500	1.5196	
34500	1.51956	
34600	1.5158	
34700	1.51211	
34700	1.51217	
34800	1.5085	
34900	1.50489	
34900	1.50492	
35000	1.5012	
35100	1.4976	
35100	1.49759	
35200	1.49396	
35300	1.49036	
35400	1.48677	
35400	1.4868	
35500	1.48318	
35600	1.47967	
35600	1.47969	
35700	1.47594	
35800	1.47263	
35800	1.47262	
35900	1.46914	
35900	1.46916	
36000	1.46562	
36100	1.46218	
36100	1.46222	
36200	1.4588	
36300	1.45538	
36300	1.45534	
36400	1.45192	
36500	1.44847	
36500	1.44848	
36600	1.44513	
36700	1.44176	
36700	1.44178	
36800	1.43846	
36900	1.43512	
36900	1.43508	
37000	1.43184	
37100	1.4285	
37100	1.42849	
37200	1.42522	
37200	1.42522	
37300	1.42196	
37400	1.41864	
37400	1.41864	
37500	1.4154	
37600	1.41216	
37600	1.41214	
37700	1.40899	
37800	1.40581	
37800	1.4057	
37900	1.40255	
38000	1.39943	
38000	1.39939	
38100	1.3962	
38200	1.39305	
38200	1.39302	
38300	1.38991	
38400	1.38677	
38399	1.38682	
38500	1.38371	
38500	1.38369	
38600	1.3806	
38700	1.37758	
38800	1.37453	
38800	1.37449	
38900	1.37145	
39000	1.36847	
39000	1.36847	
39100	1.36543	
39199	1.36235	
39199	1.36237	
39300	1.35938	
39400	1.35644	
39400	1.35648	
39500	1.35346	
39600	1.35047	
39600	1.35045	
39600	1.35055	
39800	1.3446	
39800	1.3446	
39899	1.34174	
39999	1.33889	
39999	1.3389	
40100	1.33595	
40200	1.33306	
40200	1.33305	
40300	1.33017	
40400	1.32732	
40400	1.32735	
40500	1.32447	
40600	1.32167	
40600	1.3217	
40699	1.31889	
40799	1.31603	
40799	1.31614	
40799	1.31612	
41000	1.31054	
41000	1.31049	
41100	1.30769	
41200	1.3049	
41200	1.30495	
41300	1.30221	
41300	1.30225	
41400	1.29944	
41499	1.29677	
41599	1.29406	
41599	1.29408	
41700	1.29132	
41800	1.28859	
41800	1.28866	
41900	1.28598	
42000	1.28329	
42000	1.28335	
42100	1.28066	
42200	1.27807	
42200	1.2781	
42299	1.27539	
42399	1.27276	
42399	1.27284	
42500	1.27017	
42500	1.27014	
42500	1.27015	
42700	1.26497	
42700	1.26499	
42800	1.26241	
42900	1.25985	
42900	1.25982	
42999	1.25731	
42999	1.25732	
43099	1.25478	
43199	1.25225	
43199	1.25225	
43300	1.24967	
43300	1.24969	
43400	1.2472	
43400	1.24725	
43500	1.24473	
43600	1.24222	
43700	1.23973	
43700	1.23973	
43799	1.23721	
43899	1.23473	
43899	1.23475	
43999	1.23235	
44100	1.22988	
44100	1.22987	
44200	1.22743	
44300	1.22503	
44300	1.225	
44400	1.22255	
44400	1.2226	
44500	1.22022	
44599	1.21781	
44599	1.2178	
44699	1.2154	
44799	1.21305	
44799	1.21306	
44899	1.21069	
45000	1.20828	
45000	1.20831	
45100	1.20599	
45100	1.20593	
45200	1.20365	
45300	1.20129	
45300	1.20125	
45399	1.19899	
45499	1.19668	
45499	1.19665	
45599	1.19436	
45699	1.19206	
45700	1.19204	
45800	1.18979	
45900	1.18747	
45900	1.18752	
46000	1.18522	
46099	1.18297	
46099	1.18296	
46199	1.18074	
46199	1.18077	
46299	1.17849	
46399	1.17627	
46399	1.17628	
46499	1.1741	
46600	1.17187	
46600	1.17185	
46700	1.16965	
46800	1.16743	
46800	1.16746	
46899	1.16536	
46999	1.16316	
46999	1.16313	
47099	1.16097	
47199	1.15875	
47199	1.15879	
47299	1.15665	
47299	1.15669	
47400	1.15454	
47500	1.15239	
47500	1.15241	
47600	1.15028	
47699	1.14807	
47699	1.14811	
47799	1.14598	
47799	1.14603	
47899	1.1439	
47999	1.14183	
47999	1.14184	
48099	1.13975	
48200	1.13766	
48200	1.13762	
48300	1.1356	
48400	1.1335	
48400	1.13353	
48499	1.13147	
48599	1.12946	
48599	1.12944	
48699	1.12733	
48799	1.12538	
48799	1.12539	
48899	1.12339	
48899	1.12342	
49000	1.12139	
49100	1.11933	
49100	1.11932	
49199	1.11739	
49299	1.11526	
49299	1.11532	
49399	1.11334	
49499	1.11138	
49499	1.1114	
49599	1.10944	
49699	1.10745	
49699	1.10744	
49800	1.10549	
49900	1.1036	
