Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
31299.7	28.9384	
31299.7	28.9393	
31399.6	28.9212	
31499.6	28.9056	
31499.6	28.9096	
31599.6	28.8949	
31699.6	28.8803	
31699.6	28.8795	
31799.7	28.8679	
31799.7	28.8697	
31899.7	28.8543	
31999.7	28.8423	
32099.7	28.8295	
32099.7	28.8265	
32199.6	28.8152	
32299.6	28.8036	
32299.6	28.8031	
32399.6	28.7924	
32499.6	28.7827	
32499.6	28.7844	
32599.7	28.77	
32699.7	28.7604	
32699.7	28.7618	
32799.7	28.7448	
32899.7	28.7382	
32899.7	28.7377	
32999.6	28.7297	
33099.6	28.7192	
33099.6	28.7149	
33199.6	28.7097	
33299.6	28.6943	
33299.6	28.6965	
33399.7	28.6871	
33499.7	28.6776	
33499.7	28.6796	
33599.7	28.6723	
33699.5	28.6636	
33699.5	28.6595	
33799.6	28.6527	
33899.6	28.6445	
33899.6	28.6462	
33999.6	28.638	
33999.6	28.6388	
34099.6	28.6327	
34199.5	28.6231	
34199.7	28.6246	
34299.7	28.6087	
34399.7	28.6103	
34399.7	28.6043	
34499.5	28.6036	
34599.6	28.5936	
34599.6	28.597	
34699.6	28.5882	
34799.6	28.5864	
34799.6	28.5828	
34799.6	28.5826	
34999.6	28.5756	
34999.6	28.5718	
35099.7	28.5662	
35199.7	28.5595	
35199.7	28.5611	
35299.5	28.5582	
35399.6	28.5518	
35399.6	28.5494	
35499.6	28.5472	
35599.6	28.5419	
35599.6	28.542	
35699.6	28.5117	
35799.6	28.5335	
35799.6	28.5329	
35899.7	28.5294	
35999.7	28.5257	
36099.5	28.5238	
36099.5	28.524	
36199.5	28.5197	
36299.6	28.5178	
36299.6	28.5182	
36399.6	28.5122	
36499.6	28.5113	
36499.6	28.5089	
36599.6	28.5086	
36699.7	28.4997	
36699.7	28.5007	
36799.5	28.5038	
36799.5	28.5046	
36899.5	28.5022	
36999.6	28.4997	
36999.6	28.5019	
37099.6	28.5018	
37199.6	28.5002	
37270.1	28.4935	
37299.6	28.4966	
37399.6	28.4972	
37499.7	28.4995	
37499.7	28.5039	
37599.5	28.4965	
37699.5	28.4972	
37699.5	28.499	
37799.5	28.494	
37899.6	28.4965	
37899.6	28.494	
37999.6	28.4944	
38099.6	28.4971	
38099.6	28.4988	
38199.6	28.4973	
38199.6	28.498	
38299.7	28.501	
38399.5	28.4967	
38399.5	28.4975	
38499.5	28.5107	
38599.5	28.499	
38599.5	28.4991	
38699.6	28.4987	
38799.6	28.5074	
38899.6	28.5052	
38899.6	28.5041	
38999.6	28.504	
39099.7	28.5054	
39099.7	28.5083	
39199.5	28.5115	
39199.5	28.5128	
39299.5	28.5092	
39399.5	28.5111	
39399.5	28.5094	
39499.6	28.519	
39599.6	28.5144	
39599.6	28.5171	
39699.6	28.5223	
39799.6	28.5253	
39799.6	28.5261	
39899.5	28.5297	
39999.5	28.5325	
39999.5	28.527	
40099.5	28.5363	
40199.5	28.5358	
40199.5	28.5362	
40299.6	28.545	
40399.6	28.5455	
40399.6	28.5438	
40499.6	28.5515	
40599.6	28.557	
40599.6	28.5572	
40699.5	28.5586	
40799.5	28.5641	
40799.5	28.5643	
40899.5	28.5709	
40999.5	28.5743	
40999.5	28.572	
41099.6	28.5804	
41199.6	28.5835	
41199.6	28.5865	
41299.6	28.5901	
41399.6	28.5941	
41399.6	28.5967	
41499.5	28.6043	
41599.5	28.6062	
41599.5	28.6097	
41699.5	28.5828	
41799.5	28.6199	
41799.5	28.6213	
41899.6	28.6255	
41999.6	28.6344	
41999.6	28.6337	
42099.6	28.6362	
42099.6	28.6396	
42199.6	28.6406	
42299.5	28.6523	
42299.5	28.6551	
42399.5	28.6563	
42499.5	28.6605	
42499.5	28.6644	
42599.5	28.6708	
42699.5	28.6763	
42699.6	28.6756	
42799.6	28.6825	
42899.6	28.6857	
42999.4	28.6961	
42999.4	28.6989	
43099.5	28.7077	
43199.5	28.7132	
43199.5	28.713	
43299.5	28.7245	
43299.5	28.7231	
43399.5	28.7268	
43499.5	28.7385	
43499.6	28.7356	
43599.6	28.7419	
43699.6	28.7514	
43699.6	28.7526	
43799.4	28.7611	
43899.5	28.767	
43899.5	28.7695	
43999.5	28.7718	
44099.5	28.7848	
44099.5	28.784	
44199.5	28.7928	
44299.5	28.8024	
44299.5	28.8064	
44399.6	28.8123	
44499.6	28.8241	
44499.6	28.8221	
44599.4	28.8307	
44699.5	28.8418	
44699.5	28.8361	
44799.5	28.8473	
44799.5	28.8469	
44899.5	28.8555	
44999.5	28.8669	
44999.5	28.8626	
45099.5	28.8767	
45199.6	28.887	
45199.6	28.8864	
45299.6	28.8944	
45399.4	28.9077	
45499.4	28.9216	
45499.4	28.9193	
45599.5	28.928	
45699.5	28.9365	
45699.5	28.9375	
45799.5	28.9478	
45899.5	28.9518	
45899.5	28.9582	
45999.6	28.9755	
45999.6	28.9717	
46099.4	28.9747	
46199.4	28.9875	
46199.4	28.9919	
46299.4	28.9968	
46399.5	29.0118	
46399.5	29.0116	
46499.5	29.0202	
46599.5	29.0344	
46599.5	29.0321	
46699.5	29.045	
46799.6	29.0597	
46799.6	29.0584	
46899.4	29.0686	
46999.4	29.0775	
46999.4	29.0753	
47099.4	29.0915	
47099.4	29.0906	
47199.5	29.1027	
47299.5	29.1157	
47299.5	29.1155	
47399.5	29.1259	
47499.5	29.1376	
47508.9	29.1327	
47599.6	29.1492	
47699.4	29.161	
47699.4	29.1624	
47799.4	29.1767	
47899.4	29.1899	
47999.5	29.2006	
47999.5	29.1986	
48099.5	29.2109	
48099.5	29.2133	
48199.5	29.2274	
48299.5	29.2377	
48299.5	29.2385	
48399.6	29.2555	
48499.4	29.2664	
48499.7	29.2646	
48599.4	29.2774	
48699.4	29.2892	
48699.4	29.2937	
48799.5	29.3047	
48899.5	29.32	
48899.5	29.3172	
48999.5	29.3297	
49099.5	29.3453	
49199.4	29.3601	
49199.4	29.3614	
49299.4	29.37	
49399.4	29.3852	
49399.4	29.3862	
49499.4	29.4002	
49599.5	29.415	
49599.5	29.4161	
49699.5	29.4253	
49799.5	29.4398	
49799.5	29.4435	
49899.5	29.4606	
